dimension,dimension_name,label,trend_score,tier,item_count,avg_rating,total_rating_count,query_count,evidence,recommendation
derived_style,style,casual,0.8366962239179323,Strong Trend,212,3.783018867924529,81556.0,12,"casual appears in 212 products, covers 12 query categories, has average rating 3.78, and total rating count 81556.",Prioritize in assortment and creative direction.
derived_style,style,basic,0.543557732109335,Weak Signal,47,3.7638297872340423,18521.0,9,"basic appears in 47 products, covers 9 query categories, has average rating 3.76, and total rating count 18521.",Test with limited drops and monitor cross-source validation.
derived_style,style,sporty,0.512286375090024,Weak Signal,3,3.9333333333333336,1165.0,2,"sporty appears in 3 products, covers 2 query categories, has average rating 3.93, and total rating count 1165.",Test with limited drops and monitor cross-source validation.
derived_style,style,formal,0.2998807966417961,Noise,10,3.92,5899.0,3,"formal appears in 10 products, covers 3 query categories, has average rating 3.92, and total rating count 5899.",Do not prioritize; keep as background signal.
derived_style,style,party,0.0,Noise,2,3.65,9.0,2,"party appears in 2 products, covers 2 query categories, has average rating 3.65, and total rating count 9.",Do not prioritize; keep as background signal.
derived_scene,scene,vacation,0.6657933771498253,Strong Trend,90,3.871111111111111,60187.0,10,"vacation appears in 90 products, covers 10 query categories, has average rating 3.87, and total rating count 60187.",Prioritize in assortment and creative direction.
derived_scene,scene,daily wear,0.5679443488950763,Weak Signal,109,3.8577981651376145,46625.0,10,"daily wear appears in 109 products, covers 10 query categories, has average rating 3.86, and total rating count 46625.",Test with limited drops and monitor cross-source validation.
derived_scene,scene,outdoor,0.48012077077136,Weak Signal,3,4.033333333333333,842.0,2,"outdoor appears in 3 products, covers 2 query categories, has average rating 4.03, and total rating count 842.",Test with limited drops and monitor cross-source validation.
derived_scene,scene,work,0.4752443697115354,Weak Signal,27,3.6814814814814816,14416.0,6,"work appears in 27 products, covers 6 query categories, has average rating 3.68, and total rating count 14416.",Test with limited drops and monitor cross-source validation.
derived_scene,scene,party,0.1130791116497314,Noise,11,3.5454545454545454,1105.0,3,"party appears in 11 products, covers 3 query categories, has average rating 3.55, and total rating count 1105.",Do not prioritize; keep as background signal.
derived_colour,colour,red,0.7862909310071508,Strong Trend,31,3.803225806451613,21435.0,8,"red appears in 31 products, covers 8 query categories, has average rating 3.80, and total rating count 21435.",Prioritize in assortment and creative direction.
derived_colour,colour,denim,0.7714702498928192,Strong Trend,71,3.8563380281690143,70605.0,4,"denim appears in 71 products, covers 4 query categories, has average rating 3.86, and total rating count 70605.",Prioritize in assortment and creative direction.
derived_colour,colour,black,0.694945431134425,Strong Trend,29,3.7517241379310344,10042.0,7,"black appears in 29 products, covers 7 query categories, has average rating 3.75, and total rating count 10042.",Prioritize in assortment and creative direction.
derived_colour,colour,white,0.5657620845673825,Weak Signal,9,3.4444444444444446,5158.0,5,"white appears in 9 products, covers 5 query categories, has average rating 3.44, and total rating count 5158.",Test with limited drops and monitor cross-source validation.
derived_colour,colour,navy,0.5424755675734998,Weak Signal,2,4.1,2094.0,2,"navy appears in 2 products, covers 2 query categories, has average rating 4.10, and total rating count 2094.",Test with limited drops and monitor cross-source validation.
derived_colour,colour,blue,0.5324511301004271,Weak Signal,13,3.96923076923077,2424.0,7,"blue appears in 13 products, covers 7 query categories, has average rating 3.97, and total rating count 2424.",Test with limited drops and monitor cross-source validation.
derived_colour,colour,pink,0.4608485405452247,Weak Signal,6,4.033333333333333,677.0,4,"pink appears in 6 products, covers 4 query categories, has average rating 4.03, and total rating count 677.",Test with limited drops and monitor cross-source validation.
derived_colour,colour,multi,0.4063961591409377,Weak Signal,9,3.955555555555556,1834.0,3,"multi appears in 9 products, covers 3 query categories, has average rating 3.96, and total rating count 1834.",Test with limited drops and monitor cross-source validation.
derived_colour,colour,brown,0.3971698027490675,Weak Signal,5,3.979999999999999,6825.0,2,"brown appears in 5 products, covers 2 query categories, has average rating 3.98, and total rating count 6825.",Test with limited drops and monitor cross-source validation.
derived_colour,colour,grey,0.2992715418661872,Noise,4,3.5749999999999997,87.0,2,"grey appears in 4 products, covers 2 query categories, has average rating 3.57, and total rating count 87.",Do not prioritize; keep as background signal.
derived_colour,colour,khaki,0.1968172245919681,Noise,1,4.3,9.0,1,"khaki appears in 1 products, covers 1 query categories, has average rating 4.30, and total rating count 9.",Do not prioritize; keep as background signal.
derived_colour,colour,green,0.0097129092429295,Noise,1,4.4,11.0,1,"green appears in 1 products, covers 1 query categories, has average rating 4.40, and total rating count 11.",Do not prioritize; keep as background signal.
derived_material,material,cotton,0.811042913809426,Strong Trend,146,3.8691780821917807,84957.0,10,"cotton appears in 146 products, covers 10 query categories, has average rating 3.87, and total rating count 84957.",Prioritize in assortment and creative direction.
derived_material,material,denim,0.5513025747817136,Weak Signal,68,3.8823529411764706,69124.0,3,"denim appears in 68 products, covers 3 query categories, has average rating 3.88, and total rating count 69124.",Test with limited drops and monitor cross-source validation.
derived_material,material,polyester,0.4589467404618975,Weak Signal,2,3.9,211.0,2,"polyester appears in 2 products, covers 2 query categories, has average rating 3.90, and total rating count 211.",Test with limited drops and monitor cross-source validation.
derived_material,material,knit,0.3948819273532591,Weak Signal,28,3.667857142857143,5585.0,2,"knit appears in 28 products, covers 2 query categories, has average rating 3.67, and total rating count 5585.",Test with limited drops and monitor cross-source validation.
derived_material,material,leather,0.3913391330758913,Weak Signal,43,3.7906976744186047,8524.0,2,"leather appears in 43 products, covers 2 query categories, has average rating 3.79, and total rating count 8524.",Test with limited drops and monitor cross-source validation.
derived_material,material,linen,0.3272834234896048,Weak Signal,22,3.5818181818181816,5121.0,1,"linen appears in 22 products, covers 1 query categories, has average rating 3.58, and total rating count 5121.",Test with limited drops and monitor cross-source validation.
derived_material,material,fleece,0.2417125973365593,Noise,2,4.1,74.0,1,"fleece appears in 2 products, covers 1 query categories, has average rating 4.10, and total rating count 74.",Do not prioritize; keep as background signal.
derived_material,material,wool,0.213831061764238,Noise,10,3.84,570.0,2,"wool appears in 10 products, covers 2 query categories, has average rating 3.84, and total rating count 570.",Do not prioritize; keep as background signal.
derived_material,material,synthetic,0.0,Noise,1,4.0,18.0,1,"synthetic appears in 1 products, covers 1 query categories, has average rating 4.00, and total rating count 18.",Do not prioritize; keep as background signal.
derived_pattern,pattern,solid,0.8135326338514897,Strong Trend,55,3.723636363636363,36120.0,11,"solid appears in 55 products, covers 11 query categories, has average rating 3.72, and total rating count 36120.",Prioritize in assortment and creative direction.
derived_pattern,pattern,floral,0.6172656565889234,Strong Trend,57,3.82280701754386,26002.0,4,"floral appears in 57 products, covers 4 query categories, has average rating 3.82, and total rating count 26002.",Prioritize in assortment and creative direction.
derived_pattern,pattern,striped,0.5412581136660503,Weak Signal,48,3.9166666666666665,20991.0,2,"striped appears in 48 products, covers 2 query categories, has average rating 3.92, and total rating count 20991.",Test with limited drops and monitor cross-source validation.
derived_pattern,pattern,embroidered,0.4529001719426626,Weak Signal,1,4.1,134.0,1,"embroidered appears in 1 products, covers 1 query categories, has average rating 4.10, and total rating count 134.",Test with limited drops and monitor cross-source validation.
derived_pattern,pattern,printed,0.3639635148606732,Weak Signal,16,3.94375,2596.0,3,"printed appears in 16 products, covers 3 query categories, has average rating 3.94, and total rating count 2596.",Test with limited drops and monitor cross-source validation.
derived_pattern,pattern,reversible,0.3358605658698935,Weak Signal,11,4.081818181818182,1459.0,1,"reversible appears in 11 products, covers 1 query categories, has average rating 4.08, and total rating count 1459.",Test with limited drops and monitor cross-source validation.
derived_pattern,pattern,stripe,0.2507672418479142,Noise,1,4.1,126.0,1,"stripe appears in 1 products, covers 1 query categories, has average rating 4.10, and total rating count 126.",Do not prioritize; keep as background signal.
derived_pattern,pattern,check,0.1829946886989322,Noise,2,2.05,8.0,2,"check appears in 2 products, covers 2 query categories, has average rating 2.05, and total rating count 8.",Do not prioritize; keep as background signal.
derived_pattern,pattern,graphic,0.1695456728037407,Noise,2,4.1,441.0,1,"graphic appears in 2 products, covers 1 query categories, has average rating 4.10, and total rating count 441.",Do not prioritize; keep as background signal.
